Шрифт	Начертание	Размер	Цвет текста	Подчеркивание	Цвет подчеркивания	Зачеркнутый	Двойное зачеркивание	Надстрочный	Подстрочный	Сдвиг	Малые прописные	Все прописные	Одинаковая высота знаков
Основной текст	обычный	4000	желтый	волнистая линия	лиловый	да	нет	да	нет	1.1	да	нет	да
Monospace	полужирный курсив	20.5	лиловый	пунктирная линия	желтый	нет	да	да	нет	1.1	нет	да	нет
Serif	курсив	1	чёрный	штриховая линия	чёрный	нет	да	да	нет	1	да	нет	нет
Заголовок	полужирный	11	чёрный	нет	нет	да	нет	нет	да	-1	нет	да	да
Основной текст	курсив	1	желтый	нет	нет	нет	нет	да	нет	100	нет	да	нет
Cursive	полужирный	11	лиловый	одинарная линия	лиловый	нет	да	да	нет	1.1	нет	нет	да
Заголовок	обычный	4000	желтый	двойная линия	желтый	нет	да	нет	да	-100	да	нет	нет
Sans-serif	курсив	20.5	лиловый	двойная линия	чёрный	да	нет	да	нет	1.1	нет	да	да
Cursive	полужирный курсив	20.5	лиловый	нет	нет	да	нет	нет	нет	0	да	нет	нет
Serif	полужирный курсив	1	чёрный	двойная линия	желтый	да	нет	да	нет	1	нет	да	да
Основной текст	полужирный курсив	4000	лиловый	штриховая линия	чёрный	да	нет	нет	да	-100	нет	да	да
Основной текст	обычный	20.5	чёрный	волнистая линия	лиловый	нет	да	нет	нет	0	нет	да	да
Sans-serif	обычный	11	желтый	нет	нет	нет	да	нет	да	-1	да	нет	нет
Monospace	полужирный	1	желтый	штриховая линия	лиловый	да	нет	да	нет	1.1	да	нет	нет
Sans-serif	курсив	1	желтый	одинарная линия	желтый	да	нет	нет	нет	0	да	нет	нет
Serif	полужирный	11	желтый	пунктирная линия	чёрный	да	нет	нет	нет	0	нет	да	нет
Заголовок	курсив	1	лиловый	волнистая линия	лиловый	нет	нет	нет	нет	0	нет	да	нет
Cursive	обычный	20.5	лиловый	штриховая линия	желтый	нет	да	нет	да	-1	нет	да	да
Monospace	обычный	4000	чёрный	одинарная линия	чёрный	да	нет	да	нет	1	нет	да	да
Sans-serif	курсив	1	чёрный	пунктирная линия	лиловый	да	нет	нет	да	-100	да	нет	да
Sans-serif	полужирный курсив	11	желтый	волнистая линия	лиловый	нет	нет	да	нет	1	нет	да	нет
Cursive	полужирный	4000	желтый	пунктирная линия	чёрный	нет	да	да	нет	1	нет	нет	да
Основной текст	полужирный курсив	11	желтый	одинарная линия	желтый	нет	да	нет	да	-1	нет	да	да
Основной текст	полужирный	4000	лиловый	нет	нет	нет	нет	да	нет	1	да	нет	нет
Serif	полужирный	20.5	желтый	одинарная линия	чёрный	нет	нет	нет	да	-100	да	нет	да
Monospace	курсив	11	чёрный	двойная линия	лиловый	нет	да	да	нет	100	да	нет	да
Cursive	полужирный	1	чёрный	волнистая линия	желтый	да	нет	да	нет	100	нет	нет	нет
Заголовок	курсив	4000	лиловый	штриховая линия	чёрный	да	нет	да	нет	100	нет	да	нет
Serif	курсив	4000	лиловый	волнистая линия	лиловый	да	нет	нет	да	-1	нет	да	нет
Monospace	обычный	1	чёрный	волнистая линия	чёрный	нет	нет	нет	да	-1	нет	да	нет
Заголовок	обычный	20.5	желтый	одинарная линия	желтый	нет	да	да	нет	100	нет	да	да
Sans-serif	полужирный	4000	лиловый	двойная линия	чёрный	да	нет	нет	нет	0	да	нет	нет
Sans-serif	полужирный курсив	11	чёрный	штриховая линия	желтый	да	нет	да	нет	100	нет	да	да
Заголовок	полужирный курсив	4000	чёрный	нет	нет	да	нет	да	нет	1.1	нет	да	да
Заголовок	обычный	20.5	чёрный	пунктирная линия	чёрный	нет	да	да	нет	1	нет	да	да
Serif	обычный	20.5	лиловый	пунктирная линия	желтый	да	нет	да	нет	100	нет	да	да
Основной текст	обычный	11	лиловый	пунктирная линия	лиловый	нет	да	нет	да	-1	нет	да	да
Cursive	курсив	11	желтый	двойная линия	лиловый	нет	нет	нет	да	-100	нет	да	да
Monospace	курсив	11	чёрный	штриховая линия	лиловый	нет	да	нет	нет	0	нет	да	да
Monospace	курсив	4000	лиловый	волнистая линия	лиловый	да	нет	нет	да	-100	нет	нет	нет
Основной текст	полужирный	1	желтый	двойная линия	лиловый	да	нет	нет	да	-1	да	нет	да
Monospace	курсив	4000	желтый	нет	нет	нет	да	нет	да	-100	да	нет	нет
Serif	курсив	20.5	желтый	нет	нет	нет	да	да	нет	1.1	да	нет	да
